Id,Name,Latitude,Longitude,Code,GmCode,Province,ProvinceId,ProvinceCode
1358,Zeewolde,NULL,NULL,0050,GM0050,Flevoland,24,PV24
1359,Zeist,NULL,NULL,0355,GM0355,Utrecht,26,PV26
1360,Zevenaar,NULL,NULL,0299,GM0299,Gelderland,25,PV25
1361,Zoetermeer,NULL,NULL,0637,GM0637,Zuid-Holland,28,PV28
1362,Zoeterwoude,NULL,NULL,0638,GM0638,Zuid-Holland,28,PV28
1363,Zuidplas,NULL,NULL,1892,GM1892,Zuid-Holland,28,PV28
1364,Zundert,NULL,NULL,0879,GM0879,Noord-Brabant,30,PV30
1365,Zutphen,NULL,NULL,0301,GM0301,Gelderland,25,PV25
1366,Zwartewaterland,NULL,NULL,1896,GM1896,Overijssel,23,PV23
1367,Zwijndrecht,NULL,NULL,0642,GM0642,Zuid-Holland,28,PV28
1368,Zwolle,NULL,NULL,0193,GM0193,Overijssel,23,PV23
